t-SNE Dimension 1,t-SNE Dimension 2
-31.81564,1.196262
-32.625175,-0.9840567
-32.336918,2.4715152
-32.255924,3.0252643
-31.371408,0.053930633
-32.58584,3.683744
-32.42751,1.057335
-30.96872,1.9657714
-32.72441,4.0984025
-31.901287,2.049621
-30.83009,-0.32739887
-31.968857,0.6107001
-32.19492,1.960202
-18.37761,-22.55226
-7.991054,-28.327156
-16.492846,27.439365
-30.503712,-5.313854
-27.626781,5.51063
-6.121549,-27.948555
-9.531492,22.769623
-3.9815345,24.908062
-9.233218,28.973122
-16.006945,2.6171105
-10.911056,-17.514103
-10.909473,19.349606
-12.18964,17.768185
-10.6775465,17.199547
-15.091964,1.122084
-14.691695,1.3511128
-8.570857,-9.555026
-9.812317,12.251495
-6.7233973,-3.1467798
-2.580417,-20.332422
11.350119,-30.76133
12.2106695,-31.403227
10.16911,-7.8750772
14.006823,-31.486473
18.555307,-20.619411
21.253025,24.524193
15.361151,-26.49234
21.279804,24.463898
16.735754,-29.41725
16.066849,-25.805977
37.884693,-13.708039
41.37574,-0.15034148
37.02527,-13.294593
38.68291,-13.358755
43.626667,-3.2333019
39.197258,-13.056787
43.803585,-4.5338087
40.73821,-11.179292
42.25181,-6.564483
41.602886,-9.870423
41.6924,-9.583603
45.13109,-4.526545
43.317886,-6.4484434
44.386837,-5.3012815
42.880787,-9.288437
44.16577,-6.6069303
42.588734,-8.416034
42.40414,-9.976225
43.733635,-7.2500434
42.92174,-8.600611
44.920513,-5.076085
42.975563,-7.3826556
44.070297,-5.936726
43.47864,-6.418972
42.0157,-8.809576
42.97145,-5.6393657
41.096622,-9.14886
41.02199,-7.6550503
42.531673,-4.4507
40.449406,-8.786222
40.233868,-9.102193
40.755913,-3.7293034
39.653755,-4.394441
40.18109,-3.7349505
40.60486,-2.4285882
39.537243,-3.4687493
40.635254,-1.8013604
35.717865,-11.0189085
35.856377,-11.472723
38.463512,-4.7882805
37.18279,-4.5024285
34.888515,-9.167797
38.446358,-1.2581295
39.197727,-0.08091994
35.033073,-7.829222
34.381626,-11.263895
34.102787,-11.321402
37.6796,-1.148777
