t-SNE Dimension 1,t-SNE Dimension 2
-32.067814,1.8676485
-32.948456,-0.32019994
-32.556755,3.1536877
-32.453106,3.7083678
-31.701805,0.7130879
-32.775505,4.368535
-32.687664,1.7525789
-31.18881,2.6155088
-32.91301,4.783729
-32.12128,2.726505
-31.204582,0.313791
-32.26209,1.2881207
-32.41882,2.6412277
-18.57211,-22.49988
-8.090074,-28.417702
-16.398388,27.648241
-29.855574,-3.7675526
-26.89942,5.1078415
-6.208286,-28.093601
-9.408118,22.92068
-3.8456223,25.011335
-9.099551,29.102367
-16.410704,2.7389379
-11.139235,-17.557987
-10.783936,19.408556
-12.130332,17.857645
-10.600676,17.266085
-15.510567,1.1821518
-15.174614,1.4594543
-8.928643,-9.577834
-9.971223,12.305308
-7.1421685,-3.1656396
-2.7547874,-20.436571
11.235693,-30.872845
12.082997,-31.527006
9.553208,-8.162863
13.860939,-31.659113
18.533384,-20.507868
21.266308,24.06472
15.327382,-26.632816
21.293411,24.00427
16.67239,-29.57877
16.036724,-25.907207
37.48359,-13.751128
41.00552,-0.016177721
36.62977,-13.32359
38.2823,-13.413913
43.300552,-3.1318393
38.79401,-13.129396
43.459217,-4.43481
40.446304,-11.121085
41.89661,-6.48193
41.3103,-9.816958
41.39683,-9.524236
44.78672,-4.408669
42.971767,-6.359605
44.048378,-5.1981134
42.584576,-9.222135
43.834442,-6.5069084
42.283066,-8.344421
42.115486,-9.909137
43.40773,-7.1552787
42.62265,-8.530141
44.581257,-4.964209
42.65338,-7.3069854
43.733307,-5.8383675
43.14801,-6.3301916
41.7123,-8.74667
42.637978,-5.549287
40.795227,-9.096781
40.698803,-7.606424
42.188637,-4.3531947
40.14133,-8.746759
39.931187,-9.065747
40.41891,-3.620836
39.319912,-4.2902727
39.84397,-3.6288686
40.25588,-2.3164792
39.196106,-3.3612006
40.280346,-1.6862094
35.36489,-11.056301
35.49587,-11.519861
38.13351,-4.7059536
36.8531,-4.4475617
34.58019,-9.175769
38.09584,-1.1501917
38.830936,0.03669447
34.726986,-7.8342557
34.026268,-11.294657
33.739143,-11.339973
37.323006,-1.0520109
34.687767,-4.2978787
40.49157,1.2215991
33.618088,-8.710046
37.469418,-0.46982244
31.914314,-4.873338
35.09094,-4.7996416
39.200184,1.856096
37.99138,0.5337529
35.463963,-6.951704
34.972927,-6.0530543
34.679226,-1.0860227
35.394875,-0.73979014
38.192535,1.5930305
31.719004,-2.218506
38.85603,1.4167552
36.23367,1.3456731
32.764347,-10.270586
31.937757,-10.037617
36.911964,-13.705103
37.953365,-0.1439909
36.468094,-2.4421232
36.71334,-0.50158966
33.74814,-7.3489876
33.159695,-4.5408597
33.182236,-8.012282
34.360073,-4.6816864
33.074596,-3.5898576
33.294014,-11.84887
35.331375,-1.7087656
33.12993,-10.320612
36.77867,0.36983755
36.117054,-1.7917242
34.694122,-5.836977
34.4653,-2.8196905
34.67018,-1.8438894
32.317078,-9.350565
33.73816,-3.8263524
31.65899,-9.290313
5.465479,12.6182995
4.067653,-13.807334
12.88839,24.016788
13.121799,21.46123
4.9002204,-12.900162
4.631017,6.16585
7.7338724,-6.1594234
5.1842933,12.509026
5.0448294,6.2697124
4.173152,-13.36805
2.0521426,-12.819708
3.5079405,-0.48264003
5.8230276,-14.781639
12.036146,23.2341
2.1695468,-7.1985726
1.9039756,-1.8094997
4.128555,1.0026143
2.4514153,2.4990518
7.133863,15.461887
2.8322973,1.429658
6.2015667,11.099826
4.6662784,13.498791
5.6829963,-10.499742
3.5687807,5.762073
1.4470528,-5.5147815
0.63394994,1.8372127
2.8525987,-1.8692913
0.63235223,-5.5247116
-3.2673903,-6.9911947
0.72448564,-5.8240285
-0.9949529,-2.5462863
4.3289332,14.878258
-1.069103,-3.1739395
0.6018162,-3.7257407
-21.422178,18.757265
-6.1979036,26.894964
0.31026205,-8.8750725
-9.36718,13.956602
5.667273,27.316498
9.348604,-31.63723
-1.5712292,-13.788282
8.819607,-29.748802
9.832916,19.76552
2.5617347,-27.77503
0.70703197,5.865405
10.103117,23.936283
5.023065,-1.6748388
3.7343376,9.995505
3.5944166,-17.06752
3.981797,-25.822659
7.07441,-27.443539
5.5685396,2.6994874
10.29606,-27.606226
8.444737,1.6093314
11.901866,17.989204
14.475946,21.81486
10.064643,-7.3749094
6.5279098,6.354961
5.535108,1.9942876
4.3389993,10.298775
12.596592,23.107023
1.8054655,-12.931435
11.863546,23.080425
9.838484,25.780151
3.1797245,-1.0118796
4.0095377,4.79891
1.9041096,-7.759552
-2.6998494,-6.5127954
1.2054008,2.7452796
0.32546657,-1.360396
2.127198,-28.740393
-12.563611,14.910641
-2.9220264,-8.938403
4.0854616,14.820592
-12.969604,15.837724
6.768459,-29.158388
1.739725,-8.524951
11.663184,-32.01921
7.2355695,15.851325
3.4703765,-14.175989
14.58953,26.017454
13.972846,23.677029
13.04975,7.321912
14.220097,21.097448
9.23251,-6.0748763
39.762943,2.734326
35.010746,1.989155
34.35568,-6.3694935
32.902714,-9.058909
37.35351,0.7064519
37.016903,1.1152848
32.141117,-4.4955425
31.611462,-7.263318
34.093643,-3.3840978
32.822002,-5.7095942
35.640095,0.50062853
37.212624,1.6304265
32.88522,-6.5685525
33.587166,-5.167896
32.563107,-7.86109
34.308376,-1.2963113
32.26789,-2.2705703
32.836147,-2.115604
34.175034,0.05648891
32.09046,-6.385553
2.3881557,1.5785394
3.317967,-13.8105
-3.1560752,-5.173789
-1.2533364,-7.8408084
0.7468483,-7.2971683
9.459017,26.605282
-1.7926672,-4.6262274
-8.454811,17.48407
-0.97606504,-4.676493
-3.720182,-5.419185
-0.9039311,-4.6659417
-22.10838,17.410051
-23.111416,-0.00078500476
-22.579704,-0.6513696
-16.218178,-16.001408
-24.104153,17.98143
-18.328281,24.488312
-3.851095,-30.076286
-5.76847,28.27564
12.206468,27.647482
-8.618153,14.504838
-12.75239,3.358826
-4.5806775,-6.324636
-21.510225,16.827509
-2.0441587,-9.605558
-21.597376,15.925366
-0.77618504,-10.65936
-9.778892,13.844115
-7.906343,18.125252
-0.399985,-6.038287
-2.2910655,-8.718508
-1.1272653,-10.978794
-1.0857584,-9.670172
11.285717,-29.561691
9.033489,16.75198
8.716564,-26.333319
13.594054,18.189447
13.316752,18.66258
4.597048,-10.333673
9.679489,15.741674
7.289101,4.806735
8.194903,15.689571
7.908579,1.1384336
8.238922,3.1160386
5.6947126,0.06623527
8.01139,4.90122
5.77825,-9.888119
9.374049,0.60056037
9.142639,-13.1839905
7.415495,13.985957
3.7516642,-10.9435835
8.716958,3.0677261
8.145493,16.222536
11.047604,-28.770416
7.7468824,-7.909856
14.976408,23.213606
3.6718554,-15.705154
0.3437563,-15.282406
10.597346,-21.645308
16.536627,24.710436
5.219377,10.051299
13.0479765,7.415315
7.5560994,10.906745
0.8882019,13.382012
7.2288537,9.648789
13.315232,13.971096
10.24518,-8.286581
9.272065,5.5713477
12.082623,-15.752403
9.433574,-5.1214476
14.188069,5.595969
8.794741,-20.311562
8.7908535,2.7016077
7.8581076,11.517301
15.026375,19.580639
8.849751,-13.6237
5.886098,-9.535117
5.68094,-2.8446476
7.0149374,19.206087
4.2064366,20.32875
-6.236125,-2.2868502
-4.939079,-8.673717
-13.047527,6.1611786
-11.5576,17.633099
-17.576857,-0.5613648
-14.737023,2.1502838
-20.404446,15.985607
-8.160643,20.340893
-15.122275,19.916994
-18.340763,-11.210346
-7.6173716,-16.004047
-4.6483426,27.708864
-15.966959,-17.639286
-4.267877,26.297197
-21.79686,11.045176
-25.704454,9.6528635
-26.222044,9.137217
-17.429268,22.706907
-21.953428,-10.451469
-17.997097,21.766806
-19.72913,-6.1523547
-22.47407,12.598545
-17.198294,21.771963
-4.996217,26.92615
-17.37692,-7.914432
-11.777615,-27.029251
9.052629,-30.453218
6.3899407,26.261198
5.9438543,19.070028
-5.1540914,-9.668852
-6.3658595,-19.813614
-10.458282,-13.225888
-7.2596273,19.208483
-7.2909794,-2.2889252
-5.3159404,16.959448
-10.464184,-13.174069
-17.816486,13.6229925
-18.16974,14.471047
-17.367361,0.5303721
-21.312353,15.801335
-19.322123,-1.7031218
-18.895487,-5.604578
-9.585138,19.855568
-16.761358,-14.304051
-20.714073,11.173957
-23.64157,-8.897253
-26.923008,-5.1968627
-29.106958,7.220657
-29.351221,-5.492776
-27.691721,7.1516986
-16.706238,-23.887974
-28.041992,-8.708689
-4.9216557,-30.88688
-2.1863444,29.99392
-29.73164,-1.9722922
-32.732338,-3.4172943
-21.843672,23.061077
-19.767103,23.73565
-27.661259,-7.1805506
-30.834423,-2.7927845
-27.476948,9.830723
-20.342968,23.537552
-29.101149,-1.5464594
-27.480877,-8.298102
-26.737736,1.2487646
-18.097813,-21.435423
-3.3413968,29.855427
-28.098856,9.089256
-18.691381,-20.797329
-26.186176,-1.2554345
-26.480045,-0.46794465
-25.9928,-9.507028
-5.425725,-31.374365
-2.847971,29.971132
-5.318776,30.853048
-27.899433,-6.747704
-18.299204,25.502426
-27.72177,11.051853
-26.393192,-0.2583979
-32.42377,-3.0357063
-21.855528,22.216484
-26.145239,-3.6383958
-24.456228,-2.8250272
-21.687067,21.91133
-19.903349,-20.705727
-22.869755,19.316286
-22.60885,18.634169
-24.155827,-2.8463209
-22.209597,17.958282
-22.08766,20.166939
-23.843622,-2.3685913
-24.719553,-0.77096426
-25.22222,-0.53355885
-22.581644,-10.471157
-15.078015,-24.350113
-26.773378,-6.515247
-19.849373,24.746744
-25.014822,14.381879
-24.747738,14.057664
-24.742231,16.959185
-18.02266,-20.06966
-5.989378,29.325977
-27.32709,-6.08863
-27.470798,5.916304
-27.135717,-1.5225524
-20.482845,23.987173
-30.181448,-4.5931544
-16.009169,-24.350164
-27.231867,0.3024554
